# C name -> luce-js name, for every quickjs.c function whose name changes.
__async_func_free async_func_free_raw
__JS_AtomFromUInt32 js_atom_from_uint32_raw
__JS_AtomIsConst js_atom_is_const_raw
__JS_AtomIsTaggedInt js_atom_is_tagged_int_raw
__JS_AtomToUInt32 js_atom_to_uint32_raw
__JS_AtomToValue js_atom_to_value_raw
__JS_EvalInternal js_eval_internal_raw
__JS_FindAtom js_find_atom_raw
__js_free js_free_raw
__JS_FreeAtom js_free_atom_raw
__JS_FreeValue js_free_value_raw
__JS_FreeValueRT js_free_value_rt_raw
__js_malloc js_malloc_raw
__js_malloc_usable_size js_malloc_usable_size_raw
__JS_NewAtom js_new_atom_raw
__JS_NewAtomInit js_new_atom_init_raw
__js_poll_interrupts js_poll_interrupts_raw
__js_realloc js_realloc_raw
__JS_ThrowSyntaxErrorAtom js_throw_syntax_error_atom_raw
__JS_ThrowTypeErrorAtom js_throw_type_error_atom_raw
__JS_ToFloat64Free js_to_float64_free_raw
BC_add_object_ref bc_add_object_ref
BC_add_object_ref1 bc_add_object_ref1
getTimezoneOffset get_timezone_offset
js___date_create js__date_create
js___date_getTimezoneOffset js__date_get_timezone_offset
JS_AddBrand js_add_brand
JS_AddIntrinsicAtomics js_add_intrinsic_atomics
JS_AddIntrinsicBaseObjects js_add_intrinsic_base_objects
JS_AddIntrinsicBasicObjects js_add_intrinsic_basic_objects
JS_AddIntrinsicBigInt js_add_intrinsic_bigint
JS_AddIntrinsicDate js_add_intrinsic_date
JS_AddIntrinsicEval js_add_intrinsic_eval
JS_AddIntrinsicJSON js_add_intrinsic_json
JS_AddIntrinsicMapSet js_add_intrinsic_map_set
JS_AddIntrinsicPromise js_add_intrinsic_promise
JS_AddIntrinsicProxy js_add_intrinsic_proxy
JS_AddIntrinsicRegExp js_add_intrinsic_reg_exp
JS_AddIntrinsicRegExpCompiler js_add_intrinsic_reg_exp_compiler
JS_AddIntrinsicStringNormalize js_add_intrinsic_string_normalize
JS_AddIntrinsicTypedArrays js_add_intrinsic_typed_arrays
JS_AddIntrinsicWeakRef js_add_intrinsic_weak_ref
JS_AddModuleExport js_add_module_export
JS_AddModuleExportList js_add_module_export_list
js_array_buffer_get_byteLength js_array_buffer_get_byte_length
js_array_buffer_get_maxByteLength js_array_buffer_get_max_byte_length
js_array_buffer_isView js_array_buffer_is_view
js_array_copyWithin js_array_copy_within
js_array_indexOf js_array_index_of
js_array_isArray js_array_is_array
js_array_lastIndexOf js_array_last_index_of
js_array_toReversed js_array_to_reversed
js_array_toSorted js_array_to_sorted
js_array_toSpliced js_array_to_spliced
js_array_toString js_array_to_string
JS_ArrayCreateFromCtor js_array_create_from_ctor
JS_ArraySpeciesCreate js_array_species_create
JS_ArraySpeciesGetCtor js_array_species_get_ctor
JS_AtomGetKind js_atom_get_kind
js_atomics_isLockFree js_atomics_is_lock_free
JS_AtomIsArrayIndex js_atom_is_array_index
JS_AtomIsNumericIndex js_atom_is_numeric_index
JS_AtomIsNumericIndex1 js_atom_is_numeric_index1
JS_AtomIsString js_atom_is_string
JS_AtomSymbolHasDescription js_atom_symbol_has_description
JS_AtomToString js_atom_to_string
JS_AtomToValue js_atom_to_value
JS_AutoInitProperty js_auto_init_property
js_bigint_asUintN js_bigint_as_uint_n
js_bigint_to_string js_bigint_to_string_internal
js_bigint_toString js_bigint_to_string_method
js_bigint_valueOf js_bigint_value_of
js_boolean_toString js_boolean_to_string
js_boolean_valueOf js_boolean_value_of
JS_Call js_call
JS_CallConstructor js_call_constructor
JS_CallConstructor2 js_call_constructor2
JS_CallConstructorInternal js_call_constructor_internal
JS_CallFree js_call_free
JS_CallInternal js_call_internal
JS_CheckBrand js_check_brand
JS_CheckDefineGlobalVar js_check_define_global_var
JS_CompactBigInt js_compact_bigint
JS_ComputeMemoryUsage js_compute_memory_usage
JS_ConcatString js_concat_string
JS_ConcatString1 js_concat_string1
JS_ConcatString2 js_concat_string2
JS_ConcatString3 js_concat_string3
JS_CopyDataProperties js_copy_data_properties
JS_CopySubArray js_copy_sub_array
JS_CreateAsyncFromSyncIterator js_create_async_from_sync_iterator
JS_CreateDataPropertyUint32 js_create_data_property_uint32
JS_CreateProperty js_create_property
js_dataview_get_byteLength js_dataview_get_byte_length
js_dataview_get_byteOffset js_dataview_get_byte_offset
js_dataview_getValue js_dataview_get_value
js_dataview_setValue js_dataview_set_value
js_date_getTime js_date_get_time
js_date_getTimezoneOffset js_date_get_timezone_offset
js_Date_now js_date_now
js_Date_parse js_date_parse
js_date_setTime js_date_set_time
js_date_setYear js_date_set_year
js_date_Symbol_toPrimitive js_date_symbol_to_primitive
js_date_toJSON js_date_to_json
js_Date_UTC js_date_utc
JS_DefineAutoInitProperty js_define_auto_init_property
JS_DefineObjectName js_define_object_name
JS_DefineObjectNameComputed js_define_object_name_computed
JS_DefinePrivateField js_define_private_field
JS_DefineProperty js_define_property
JS_DefinePropertyDesc js_define_property_desc
